150.5 750 2023.10.31
2024.01.01 2023.10.30 200.3 765
2022.12.25 100.7 755
2021.07.15 50.2 745
2023.03.12 300.0 760
100.2 770 2023.11.01
2025.05.20 400.7 780
2022.10.11 250.5 750
150.5 800 2023.10.25
2024.06.17 2023.10.26 500.3 755
2021.09.05 300.0 765
2020.12.31 350.5 770
2023.01.01 100.0 760
2022.07.15 200.2 750
2024.08.21 150.8 745
2021.02.11 275.0 770
2023.06.18 125.6 750
2022.09.22 180.0 755
2024.03.15 320.4 765
2023.05.05 400.0 750
2022.11.10 220.7 745
2021.12.01 260.0 760
2024.04.12 100.1 770
2023.08.08 50.5 745
2022.01.19 450.2 780
2024.10.10 500.0 750
2023.02.22 300.0 765
2025.06.06 350.3 770
2022.04.14 200.4 755
2024.07.09 250.0 745
